Name,PTID,Zone,UnitType,FuelType,Latitude,Longitude,Pmax,Pmin,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,fid,BusId,HubDist,starttime
59 St.  GT 1,24138,J,Combustion Turbine,Kerosene,40.772385,-73.993028,17.1,0.0,1.71,17.1,17.1,17.1,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,98,82,11.57829482,10m
74 St.  GT 1,24260,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0.0,1.85,18.5,18.5,18.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,99,82,10.06557069,10m
74 St.  GT 2,24261,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0.0,1.85,18.5,18.5,18.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,100,82,10.06557069,10m
Allied Frozen Storage,23774,A,Internal Combustion,Natural Gas,42.842029,-78.722673,0.1,0.0,0.01,0.1,0.1,0.1,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,7,55,14.12591618,10m
Arthur Kill Cogen,323718,J,Internal Combustion,Natural Gas,40.5915,-74.2027,11.1,0.0,1.11,11.1,11.1,11.1,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,101,82,24.87856242,10m
Astoria GT 2-1,24094,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,86,82,12.02713368,10m
Astoria GT 2-2,24095,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,87,82,12.02713368,10m
Astoria GT 2-3,24096,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,88,82,12.02713368,10m
Astoria GT 2-4,24097,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,89,82,12.02713368,10m
Astoria GT 3-1,24098,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,90,82,12.02713368,10m
Astoria GT 3-2,24099,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,91,82,12.02713368,10m
Astoria GT 3-3,24100,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,92,82,12.02713368,10m
Astoria GT 3-4,24101,J,Jet Engine,Kerosene,40.7864,-73.9133,46.0,0.0,4.6,46.0,46.0,46.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,93,82,12.02713368,10m
Astoria GT 4-1,24102,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,94,82,12.02713368,10m
Astoria GT 4-2,24103,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,95,82,12.02713368,10m
Astoria GT 4-3,24104,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,96,82,12.02713368,10m
Astoria GT 4-4,24105,J,Jet Engine,Kerosene,40.7864,-73.9133,42.0,0.0,4.2,42.0,42.0,42.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,97,82,12.02713368,10m
Bethlehem Energy Center,323570,F,Combined Cycle,Natural Gas,42.5905,-73.7636,618.0,116.0,6.0,60.0,180.0,360.0,9.794188106,248.14913,0.978839372,-0.005868279,13.89690452,-342.2895457,0.984490187,1,37,42,16.64550645,12h
Binghamton (RET - 1/9/18),23790,C,Combined Cycle,Natural Gas,42.107192,-75.927782,47.7,0.0,0.795,7.95,23.85,47.7,7.633,0.0,0.0,0.0,0.0,0.0,0.0,0,22,71,11.54199147,12h
"Burrstone Engy Center, LLC LU",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,1.1,0.0,0.018333333,0.183333333,0.55,1.1,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,28,45,5.043909502,12h
"Burrstone Engy Center, LLC U",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,2.2,0.0,0.036666667,0.366666667,1.1,2.2,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,29,45,5.043909502,12h
Cayuga 1,23584,C,Steam Turbine,Coal,42.6028,-76.6336,166.0,59.0,0.058333333,0.583333333,1.75,3.5,9.318744544,110.7942234,0.994675913,-0.003730861,10.09535611,77.02183874,0.994749268,1,14,65,28.40646886,12h
Fortistar - N.Tonawanda,24026,A,Combined Cycle,Natural Gas,43.0483,-78.8539,51.0,12.0,0.508333333,5.083333333,15.25,30.5,9.213061918,98.39510468,0.964204554,-0.019776062,10.516008,79.25342118,0.964682897,1,5,57,9.661975999,12h
General Mills Inc,23808,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,3.8,0.0,0.063333333,0.633333333,1.9,3.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,8,57,19.73671636,12h
Gowanus 1-1,24077,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,104,82,6.417512627,12h
Gowanus 1-2,24078,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,105,82,6.417512627,12h
Gowanus 1-3,24079,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,106,82,6.417512627,12h
Gowanus 1-4,24080,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,107,82,6.417512627,12h
Gowanus 1-5,24084,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,108,82,6.417512627,12h
Gowanus 1-6,24111,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,109,82,6.417512627,12h
Gowanus 1-7,24112,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,110,82,6.417512627,12h
Gowanus 4-1,24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,127,82,6.417512627,1h
Gowanus 4-2,24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,128,82,6.417512627,1h
Gowanus 4-3,24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,129,82,6.417512627,1h
Gowanus 4-4,24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,130,82,6.417512627,1h
Gowanus 4-5,24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,131,82,6.417512627,1h
Gowanus 4-6,24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,132,82,6.417512627,1h
Gowanus 4-8,24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20.0,0.0,0.333333333,3.333333333,10.0,20.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,133,82,6.417512627,1h
Hudson Ave 3,23810,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,134,82,5.039233259,1h
Hudson Ave 4,23540,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,135,82,5.039233259,1h
Hudson Ave 5,23657,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0.0,0.271666667,2.716666667,8.15,16.3,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,136,82,5.039233259,1h
Independence,23970,C,Combined Cycle,Natural Gas,43.495,-76.4508,1218.0,103.0,20.3,203.0,609.0,1218.0,6.672255447,167.3533806,0.973590111,0.000652208,5.81334173,390.5014737,0.974242951,1,19,50,23.06475241,1h
KIAC_JFK_GT1,23816,J,Combined Cycle,Natural Gas,40.6417,-73.7778,71.0,17.0,1.083333333,10.83333333,35.5,35.5,7.90180717,87.49375213,0.972907628,-0.007507863,8.523468321,74.94687173,0.973062986,1,64,82,11.47967404,1h
KIAC_JFK_GT2,23817,J,Combined Cycle,Natural Gas,40.6417,-73.7778,49.0,4.0,1.183333333,11.83333333,24.5,49.0,7.487262603,94.37554812,0.986293021,-0.001455771,7.5747046,93.53050014,0.986301953,1,65,82,11.47967404,1h
Lockport,23791,A,Combined Cycle,Natural Gas,43.1622,-78.7453,153.0,28.0,2.55,25.5,76.5,153.0,12.83246405,-14.5128076,0.931274483,0.00592104,11.88674839,15.39975543,0.931404611,1,3,56,16.64343266,1h
Nassau Energy Corporation,323695,K,Combined Cycle,Natural Gas,40.7259,-73.5885,53.0,35.0,0.883333333,8.833333333,26.5,53.0,7.129090827,153.595876,0.943768817,0.05166316,2.811719292,242.8454864,0.944939602,1,204,79,10.57602075,1h
Northport GT,23718,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,16.0,0.0,0.266666667,2.666666667,8.0,16.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,223,80,18.36181122,1h
Ravenswood 01,23729,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,18.6,0.0,0.31,3.1,9.3,18.6,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,153,82,8.893968189,1h
Ravenswood 10,24258,J,Jet Engine,Kerosene,40.7585,-73.9451,25.0,0.0,0.416666667,4.166666667,12.5,25.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,154,82,8.893968189,1h
Ravenswood 11,24259,J,Jet Engine,Kerosene,40.7585,-73.9451,25.0,0.0,0.416666667,4.166666667,12.5,25.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,155,82,8.893968189,1h
Saranac Energy,23793,D,Combined Cycle,Natural Gas,44.7132,-73.4557,268.0,20.0,4.466666667,44.66666667,134.0,268.0,7.954201193,108.3920987,0.95892353,0.005945642,6.438131253,193.3572738,0.961805112,1,23,48,53.77751409,1h
Somerset,23543,A,Steam Turbine,Coal,43.3561,-78.6039,731.0,80.4,5.391666667,53.91666667,161.75,323.5,7.540292686,625.0545977,0.993683759,0.002011504,5.841928712,889.0034119,0.994794515,1,1,56,12.29874974,over
St. Elizabeth Medical Center,23633,E,Internal Combustion,Natural Gas,43.082104,-75.2661,0.6,0.0,0.01,0.1,0.3,0.6,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,30,45,5.832776701,over
West Babylon 4,23714,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,65.0,3.0,0.808333333,8.083333333,24.25,48.5,13.32991978,15.83107639,0.989745265,-0.060121721,17.05556001,-25.89284716,0.993618784,1,185,79,11.26133596,over
